period,category,segment,metric,value,unit,direction,source
2020-01,ESG,Global,Carbon Footprint tCO2e (metric tons),1886.0,metric tons,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2020-02,ESG,Global,Carbon Footprint tCO2e (metric tons),1925.62,metric tons,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2020-03,ESG,Global,Carbon Footprint tCO2e (metric tons),1964.97,metric tons,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2020-04,ESG,Global,Carbon Footprint tCO2e (metric tons),2004.03,metric tons,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2020-05,ESG,Global,Carbon Footprint tCO2e (metric tons),2042.81,metric tons,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2020-06,ESG,Global,Carbon Footprint tCO2e (metric tons),2081.32,metric tons,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2020-07,ESG,Global,Carbon Footprint tCO2e (metric tons),2119.54,metric tons,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2020-08,ESG,Global,Carbon Footprint tCO2e (metric tons),2157.5,metric tons,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2020-09,ESG,Global,Carbon Footprint tCO2e (metric tons),2195.18,metric tons,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2020-10,ESG,Global,Carbon Footprint tCO2e (metric tons),2232.58,metric tons,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2020-11,ESG,Global,Carbon Footprint tCO2e (metric tons),2269.72,metric tons,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2020-12,ESG,Global,Carbon Footprint tCO2e (metric tons),2306.59,metric tons,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2021-01,ESG,Global,Carbon Footprint tCO2e (metric tons),2343.19,metric tons,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2021-02,ESG,Global,Carbon Footprint tCO2e (metric tons),2379.52,metric tons,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2021-03,ESG,Global,Carbon Footprint tCO2e (metric tons),2415.59,metric tons,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2021-04,ESG,Global,Carbon Footprint tCO2e (metric tons),2451.39,metric tons,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
2021-05,ESG,Global,Carbon Footprint tCO2e (metric tons),2486.93,metric tons,down,GRI Global Reporting Initiative 2024; TCFD Framework 2023; CDP Environmental Data 2024
