period,category,segment,metric,value,unit,direction,source
2020-01,IT,Global,System Uptime (%),99.97,%,up,Google DORA Accelerate Report 2024; NIST Cybersecurity Framework 2024; Gartner IT Operations 2024
2020-02,IT,Global,System Uptime (%),99.97,%,up,Google DORA Accelerate Report 2024; NIST Cybersecurity Framework 2024; Gartner IT Operations 2024
2020-03,IT,Global,System Uptime (%),99.97,%,up,Google DORA Accelerate Report 2024; NIST Cybersecurity Framework 2024; Gartner IT Operations 2024
2020-04,IT,Global,System Uptime (%),99.97,%,up,Google DORA Accelerate Report 2024; NIST Cybersecurity Framework 2024; Gartner IT Operations 2024
2020-05,IT,Global,System Uptime (%),99.97,%,up,Google DORA Accelerate Report 2024; NIST Cybersecurity Framework 2024; Gartner IT Operations 2024
2020-06,IT,Global,System Uptime (%),99.97,%,up,Google DORA Accelerate Report 2024; NIST Cybersecurity Framework 2024; Gartner IT Operations 2024
2020-07,IT,Global,System Uptime (%),99.97,%,up,Google DORA Accelerate Report 2024; NIST Cybersecurity Framework 2024; Gartner IT Operations 2024
2020-08,IT,Global,System Uptime (%),99.97,%,up,Google DORA Accelerate Report 2024; NIST Cybersecurity Framework 2024; Gartner IT Operations 2024
2020-09,IT,Global,System Uptime (%),99.97,%,up,Google DORA Accelerate Report 2024; NIST Cybersecurity Framework 2024; Gartner IT Operations 2024
2020-10,IT,Global,System Uptime (%),99.98,%,up,Google DORA Accelerate Report 2024; NIST Cybersecurity Framework 2024; Gartner IT Operations 2024
2020-11,IT,Global,System Uptime (%),99.98,%,up,Google DORA Accelerate Report 2024; NIST Cybersecurity Framework 2024; Gartner IT Operations 2024
2020-12,IT,Global,System Uptime (%),99.98,%,up,Google DORA Accelerate Report 2024; NIST Cybersecurity Framework 2024; Gartner IT Operations 2024
2021-01,IT,Global,System Uptime (%),99.98,%,up,Google DORA Accelerate Report 2024; NIST Cybersecurity Framework 2024; Gartner IT Operations 2024
2021-02,IT,Global,System Uptime (%),99.98,%,up,Google DORA Accelerate Report 2024; NIST Cybersecurity Framework 2024; Gartner IT Operations 2024
2021-03,IT,Global,System Uptime (%),99.98,%,up,Google DORA Accelerate Report 2024; NIST Cybersecurity Framework 2024; Gartner IT Operations 2024
2021-04,IT,Global,System Uptime (%),99.98,%,up,Google DORA Accelerate Report 2024; NIST Cybersecurity Framework 2024; Gartner IT Operations 2024
2021-05,IT,Global,System Uptime (%),99.98,%,up,Google DORA Accelerate Report 2024; NIST Cybersecurity Framework 2024; Gartner IT Operations 2024
2021-06,IT,Global,System Uptime (%),99.98,%,up,Google DORA Accelerate Report 2024; NIST Cybersecurity Framework 2024; Gartner IT Operations 2024
2021-07,IT,Global,System Uptime (%),99.98,%,up,Google DORA Accelerate Report 2024; NIST Cybersecurity Framework 2024; Gartner IT Operations 2024
