period,category,segment,metric,value,unit,direction,source
2020-01,Logistics,Global,On Time Delivery (%),93.42,%,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2020-02,Logistics,Global,On Time Delivery (%),92.63,%,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2020-03,Logistics,Global,On Time Delivery (%),91.84,%,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2020-04,Logistics,Global,On Time Delivery (%),91.06,%,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2020-05,Logistics,Global,On Time Delivery (%),90.28,%,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2020-06,Logistics,Global,On Time Delivery (%),89.49,%,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2020-07,Logistics,Global,On Time Delivery (%),88.71,%,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2020-08,Logistics,Global,On Time Delivery (%),87.92,%,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2020-09,Logistics,Global,On Time Delivery (%),87.14,%,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2020-10,Logistics,Global,On Time Delivery (%),86.35,%,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2020-11,Logistics,Global,On Time Delivery (%),85.57,%,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2020-12,Logistics,Global,On Time Delivery (%),84.78,%,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2021-01,Logistics,Global,On Time Delivery (%),84.0,%,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2021-02,Logistics,Global,On Time Delivery (%),83.21,%,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2021-03,Logistics,Global,On Time Delivery (%),82.43,%,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2021-04,Logistics,Global,On Time Delivery (%),81.64,%,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2021-05,Logistics,Global,On Time Delivery (%),80.86,%,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2021-06,Logistics,Global,On Time Delivery (%),80.07,%,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2021-07,Logistics,Global,On Time Delivery (%),79.84,%,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2021-08,Logistics,Global,On Time Delivery (%),79.62,%,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2021-09,Logistics,Global,On Time Delivery (%),79.39,%,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2021-10,Logistics,Global,On Time Delivery (%),79.17,%,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2021-11,Logistics,Global,On Time Delivery (%),78.94,%,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2021-12,Logistics,Global,On Time Delivery (%),78.71,%,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2022-01,Logistics,Global,On Time Delivery (%),78.49,%,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2022-02,Logistics,Global,On Time Delivery (%),78.26,%,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2022-03,Logistics,Global,On Time Delivery (%),78.03,%,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2022-04,Logistics,Global,On Time Delivery (%),77.81,%,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2022-05,Logistics,Global,On Time Delivery (%),77.58,%,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2022-06,Logistics,Global,On Time Delivery (%),77.36,%,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2022-07,Logistics,Global,On Time Delivery (%),77.13,%,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2022-08,Logistics,Global,On Time Delivery (%),76.9,%,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2022-09,Logistics,Global,On Time Delivery (%),76.68,%,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2022-10,Logistics,Global,On Time Delivery (%),76.45,%,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2022-11,Logistics,Global,On Time Delivery (%),76.23,%,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
2022-12,Logistics,Global,On Time Delivery (%),76.0,%,up,Gartner Supply Chain 2024; ISM Supply Chain Reports 2022-2024; FedEx Logistics Benchmarks 2024
