period,category,segment,metric,value,unit,direction,source
2020-01,People,Global,Total Headcount (Count),320.0,Count,up,SHRM 2024 Workforce Analytics; LinkedIn Talent Insights 2024; Mercer Global Talent Trends 2024
2020-02,People,Global,Total Headcount (Count),320.0,Count,up,SHRM 2024 Workforce Analytics; LinkedIn Talent Insights 2024; Mercer Global Talent Trends 2024
2020-03,People,Global,Total Headcount (Count),320.0,Count,up,SHRM 2024 Workforce Analytics; LinkedIn Talent Insights 2024; Mercer Global Talent Trends 2024
2020-04,People,Global,Total Headcount (Count),320.0,Count,up,SHRM 2024 Workforce Analytics; LinkedIn Talent Insights 2024; Mercer Global Talent Trends 2024
2020-05,People,Global,Total Headcount (Count),320.0,Count,up,SHRM 2024 Workforce Analytics; LinkedIn Talent Insights 2024; Mercer Global Talent Trends 2024
2020-06,People,Global,Total Headcount (Count),320.0,Count,up,SHRM 2024 Workforce Analytics; LinkedIn Talent Insights 2024; Mercer Global Talent Trends 2024
2020-07,People,Global,Total Headcount (Count),320.0,Count,up,SHRM 2024 Workforce Analytics; LinkedIn Talent Insights 2024; Mercer Global Talent Trends 2024
2020-08,People,Global,Total Headcount (Count),320.0,Count,up,SHRM 2024 Workforce Analytics; LinkedIn Talent Insights 2024; Mercer Global Talent Trends 2024
2020-09,People,Global,Total Headcount (Count),320.0,Count,up,SHRM 2024 Workforce Analytics; LinkedIn Talent Insights 2024; Mercer Global Talent Trends 2024
2020-10,People,Global,Total Headcount (Count),320.0,Count,up,SHRM 2024 Workforce Analytics; LinkedIn Talent Insights 2024; Mercer Global Talent Trends 2024
2020-11,People,Global,Total Headcount (Count),320.0,Count,up,SHRM 2024 Workforce Analytics; LinkedIn Talent Insights 2024; Mercer Global Talent Trends 2024
2020-12,People,Global,Total Headcount (Count),320.0,Count,up,SHRM 2024 Workforce Analytics; LinkedIn Talent Insights 2024; Mercer Global Talent Trends 2024
2021-01,People,Global,Total Headcount (Count),320.0,Count,up,SHRM 2024 Workforce Analytics; LinkedIn Talent Insights 2024; Mercer Global Talent Trends 2024
