Date,Patient_Volume,Readmission_Rate,Bed_Occupancy,Avg_Wait_Time,Patient_Sat
2025-01-01,496,13.66,73.71,83.8,3.4
2025-01-08,189,10.34,77.1,118.8,3.97
2025-01-15,303,9.81,70.52,68.9,4.75
2025-01-22,175,12.18,66.24,47.6,4.58
2025-01-29,380,7.26,78.02,116.6,3.1
2025-02-05,311,11.43,93.6,103.3,3.02
2025-02-12,498,10.15,71.55,63.5,4.32
2025-02-19,246,12.46,66.14,101.5,4.07
2025-02-26,105,9.69,73.82,72.7,3.88
2025-03-05,148,10.13,65.6,17.9,4.28
2025-03-12,161,9.22,73.58,90.2,4.55
2025-03-19,183,9.09,72.62,99.2,4.6
2025-03-26,261,11.01,78.75,39.1,4.97
2025-04-02,334,10.73,77.45,37.9,3.4
2025-04-09,372,12.17,85.63,81.7,3.39
2025-04-16,484,5.7,70.96,49.2,4.75
2025-04-23,259,6.05,77.69,79.9,4.31
2025-04-30,146,13.56,72.28,40.3,4.12
2025-05-07,165,14.55,93.09,38.0,3.88
2025-05-14,254,5.66,77.53,73.2,4.09
2025-05-21,125,5.85,74.62,56.7,3.59
2025-05-28,310,9.07,74.99,64.3,3.34
2025-06-04,256,6.0,83.13,38.8,3.66
2025-06-11,324,11.73,79.28,67.8,3.14
2025-06-18,416,13.74,82.76,80.9,3.93
2025-06-25,156,6.2,79.88,72.8,4.15
2025-07-02,469,7.33,80.25,27.1,4.15
2025-07-09,394,14.05,93.27,25.3,4.32
2025-07-16,376,10.1,61.58,22.3,3.16
2025-07-23,139,8.23,71.55,84.2,3.58
2025-07-30,176,5.5,67.87,110.6,4.07
2025-08-06,119,8.42,87.09,29.2,3.7
2025-08-13,374,9.55,84.43,33.4,3.2
2025-08-20,286,14.3,71.4,45.8,4.42
2025-08-27,222,12.5,82.28,90.3,3.27
2025-09-03,219,9.36,90.78,81.7,3.88
2025-09-10,174,7.84,84.63,36.1,4.44
2025-09-17,234,8.37,90.16,71.1,4.99
2025-09-24,323,6.67,64.09,70.1,4.37
2025-10-01,455,5.24,83.36,74.4,4.51
2025-10-08,241,11.9,88.34,50.3,3.06
2025-10-15,407,10.37,85.37,69.8,3.52
2025-10-22,446,10.16,89.32,54.9,3.16
2025-10-29,461,9.52,68.23,71.6,4.07
2025-11-05,380,6.3,66.38,115.3,3.07
2025-11-12,290,14.16,87.29,79.9,3.33
2025-11-19,349,7.4,78.98,76.6,4.19
2025-11-26,177,9.7,93.57,45.2,4.25
2025-12-03,434,9.37,83.74,35.1,4.8
2025-12-10,404,12.9,87.14,23.4,4.74
