period,category,segment,metric_name,value,unit,direction,source
2020-01,ESG,OmniIntelOS,Scope 1 Emissions,1.2,tCO2e,down,omniintelos:model-v1
2020-01,ESG,OmniIntelOS,Scope 2 Emissions,4.6631,tCO2e,down,omniintelos:model-v1
2020-01,ESG,OmniIntelOS,Scope 3 Emissions,12.6468,tCO2e,down,omniintelos:model-v1
2020-01,ESG,OmniIntelOS,Total Carbon Footprint,18.5099,tCO2e,down,omniintelos:model-v1
2020-01,ESG,OmniIntelOS,Energy Consumption,8669.6777,kWh,down,omniintelos:model-v1
2020-01,ESG,OmniIntelOS,Renewable Energy Ratio,13.2473,%,up,omniintelos:model-v1
2020-01,ESG,OmniIntelOS,Board Diversity Ratio,12.7715,%,up,omniintelos:model-v1
2020-01,ESG,OmniIntelOS,Audit Compliance Score,87.0992,%,up,omniintelos:model-v1
2020-01,ESG,OmniIntelOS,Privacy Incident Count,0.0,count,down,omniintelos:model-v1
2020-01,ESG,OmniIntelOS,Water Consumption,53.1367,m3,down,omniintelos:model-v1
2020-01,ESG,OmniIntelOS,Waste Diverted from Landfill,32.0315,%,up,omniintelos:model-v1
2020-01,ESG,OmniIntelOS,Carbon Intensity per Revenue,113.2911,tCO2e/USDm,down,omniintelos:model-v1
2020-02,ESG,OmniIntelOS,Scope 1 Emissions,1.2,tCO2e,down,omniintelos:model-v1
2020-02,ESG,OmniIntelOS,Scope 2 Emissions,4.7354,tCO2e,down,omniintelos:model-v1
2020-02,ESG,OmniIntelOS,Scope 3 Emissions,12.6029,tCO2e,down,omniintelos:model-v1
2020-02,ESG,OmniIntelOS,Total Carbon Footprint,18.5383,tCO2e,down,omniintelos:model-v1
2020-02,ESG,OmniIntelOS,Energy Consumption,8766.0999,kWh,down,omniintelos:model-v1
2020-02,ESG,OmniIntelOS,Renewable Energy Ratio,12.8717,%,up,omniintelos:model-v1
2020-02,ESG,OmniIntelOS,Board Diversity Ratio,13.2081,%,up,omniintelos:model-v1
2020-02,ESG,OmniIntelOS,Audit Compliance Score,85.049,%,up,omniintelos:model-v1
2020-02,ESG,OmniIntelOS,Privacy Incident Count,0.0,count,down,omniintelos:model-v1
2020-02,ESG,OmniIntelOS,Water Consumption,53.7277,m3,down,omniintelos:model-v1
2020-02,ESG,OmniIntelOS,Waste Diverted from Landfill,33.1564,%,up,omniintelos:model-v1
2020-02,ESG,OmniIntelOS,Carbon Intensity per Revenue,114.2757,tCO2e/USDm,down,omniintelos:model-v1
2020-03,ESG,OmniIntelOS,Scope 1 Emissions,1.2,tCO2e,down,omniintelos:model-v1
2020-03,ESG,OmniIntelOS,Scope 2 Emissions,4.7723,tCO2e,down,omniintelos:model-v1
2020-03,ESG,OmniIntelOS,Scope 3 Emissions,13.342,tCO2e,down,omniintelos:model-v1
