period,category,segment,metric_name,value,unit,direction,source
2020-01,Finance,OmniIntelOS,Revenue,163383.6842,USD,up,omniintelos:model-v1
2020-01,Finance,OmniIntelOS,Subscription Revenue,99916.3456,USD,up,omniintelos:model-v1
2020-01,Finance,OmniIntelOS,Professional Services Revenue,63467.3386,USD,up,omniintelos:model-v1
2020-01,Finance,OmniIntelOS,Data Centre Revenue,0.0,USD,up,omniintelos:model-v1
2020-01,Finance,OmniIntelOS,COGS,82084.4862,USD,down,omniintelos:model-v1
2020-01,Finance,OmniIntelOS,Gross Profit,81299.198,USD,up,omniintelos:model-v1
2020-01,Finance,OmniIntelOS,Operating Expenses,98673.0077,USD,down,omniintelos:model-v1
2020-01,Finance,OmniIntelOS,Sales & Marketing Spend,39143.1356,USD,down,omniintelos:model-v1
2020-01,Finance,OmniIntelOS,R&D Spend,39744.5179,USD,down,omniintelos:model-v1
2020-01,Finance,OmniIntelOS,EBITDA,-17373.8097,USD,up,omniintelos:model-v1
2020-01,Finance,OmniIntelOS,Depreciation & Amortisation,6000.0,USD,down,omniintelos:model-v1
2020-01,Finance,OmniIntelOS,Interest Expense,1685.256,USD,down,omniintelos:model-v1
2020-01,Finance,OmniIntelOS,Taxes,0.0,USD,down,omniintelos:model-v1
2020-01,Finance,OmniIntelOS,Net Income,-25059.0657,USD,up,omniintelos:model-v1
2020-01,Finance,OmniIntelOS,Capital Expenditure,4901.5105,USD,down,omniintelos:model-v1
2020-01,Finance,OmniIntelOS,Cash Balance,756039.4238,USD,up,omniintelos:model-v1
2020-01,Finance,OmniIntelOS,Total Debt,237360.0,USD,down,omniintelos:model-v1
2020-01,Finance,OmniIntelOS,Shareholders Equity,1374940.9343,USD,up,omniintelos:model-v1
2020-01,Finance,OmniIntelOS,Gross Margin,49.7597,%,up,omniintelos:model-v1
2020-01,Finance,OmniIntelOS,EBITDA Margin,-10.6337,%,up,omniintelos:model-v1
2020-01,Finance,OmniIntelOS,Net Profit Margin,-15.3376,%,up,omniintelos:model-v1
2020-01,Finance,OmniIntelOS,Debt to Equity,0.1726,x,down,omniintelos:model-v1
2020-01,Finance,OmniIntelOS,Chiffre d'affaires (XOF),99233954.9216,XOF,up,omniintelos:model-v1
2020-01,Finance,OmniIntelOS,Cash Runway,30.1703,months,up,omniintelos:model-v1
2020-02,Finance,OmniIntelOS,Revenue,162224.6641,USD,up,omniintelos:model-v1
2020-02,Finance,OmniIntelOS,Subscription Revenue,101959.0565,USD,up,omniintelos:model-v1
2020-02,Finance,OmniIntelOS,Professional Services Revenue,60265.6076,USD,up,omniintelos:model-v1
2020-02,Finance,OmniIntelOS,Data Centre Revenue,0.0,USD,up,omniintelos:model-v1
2020-02,Finance,OmniIntelOS,COGS,78710.6584,USD,down,omniintelos:model-v1
2020-02,Finance,OmniIntelOS,Gross Profit,83514.0057,USD,up,omniintelos:model-v1
2020-02,Finance,OmniIntelOS,Operating Expenses,94840.2993,USD,down,omniintelos:model-v1
2020-02,Finance,OmniIntelOS,Sales & Marketing Spend,36636.7981,USD,down,omniintelos:model-v1
2020-02,Finance,OmniIntelOS,R&D Spend,39670.0732,USD,down,omniintelos:model-v1
2020-02,Finance,OmniIntelOS,EBITDA,-11326.2937,USD,up,omniintelos:model-v1
2020-02,Finance,OmniIntelOS,Depreciation & Amortisation,6000.0,USD,down,omniintelos:model-v1
2020-02,Finance,OmniIntelOS,Interest Expense,1666.7182,USD,down,omniintelos:model-v1
2020-02,Finance,OmniIntelOS,Taxes,0.0,USD,down,omniintelos:model-v1
2020-02,Finance,OmniIntelOS,Net Income,-18993.0118,USD,up,omniintelos:model-v1
2020-02,Finance,OmniIntelOS,Capital Expenditure,4866.7399,USD,down,omniintelos:model-v1
2020-02,Finance,OmniIntelOS,Cash Balance,738179.672,USD,up,omniintelos:model-v1
2020-02,Finance,OmniIntelOS,Total Debt,234749.04,USD,down,omniintelos:model-v1
2020-02,Finance,OmniIntelOS,Shareholders Equity,1355947.9225,USD,up,omniintelos:model-v1
2020-02,Finance,OmniIntelOS,Gross Margin,51.4805,%,up,omniintelos:model-v1
2020-02,Finance,OmniIntelOS,EBITDA Margin,-6.9819,%,up,omniintelos:model-v1
2020-02,Finance,OmniIntelOS,Net Profit Margin,-11.7078,%,up,omniintelos:model-v1
2020-02,Finance,OmniIntelOS,Debt to Equity,0.1731,x,down,omniintelos:model-v1
2020-02,Finance,OmniIntelOS,Chiffre d'affaires (XOF),98530003.6745,XOF,up,omniintelos:model-v1
2020-02,Finance,OmniIntelOS,Cash Runway,36.0,months,up,omniintelos:model-v1
2020-03,Finance,OmniIntelOS,Revenue,173335.2087,USD,up,omniintelos:model-v1
2020-03,Finance,OmniIntelOS,Subscription Revenue,105853.5395,USD,up,omniintelos:model-v1
2020-03,Finance,OmniIntelOS,Professional Services Revenue,67481.6692,USD,up,omniintelos:model-v1
2020-03,Finance,OmniIntelOS,Data Centre Revenue,0.0,USD,up,omniintelos:model-v1
2020-03,Finance,OmniIntelOS,COGS,85077.2841,USD,down,omniintelos:model-v1
2020-03,Finance,OmniIntelOS,Gross Profit,88257.9246,USD,up,omniintelos:model-v1
2020-03,Finance,OmniIntelOS,Operating Expenses,106636.7866,USD,down,omniintelos:model-v1
2020-03,Finance,OmniIntelOS,Sales & Marketing Spend,41599.8319,USD,down,omniintelos:model-v1
2020-03,Finance,OmniIntelOS,R&D Spend,45366.2266,USD,down,omniintelos:model-v1
2020-03,Finance,OmniIntelOS,EBITDA,-18378.862,USD,up,omniintelos:model-v1
2020-03,Finance,OmniIntelOS,Depreciation & Amortisation,6066.7323,USD,down,omniintelos:model-v1
2020-03,Finance,OmniIntelOS,Interest Expense,1648.3843,USD,down,omniintelos:model-v1
2020-03,Finance,OmniIntelOS,Taxes,0.0,USD,down,omniintelos:model-v1
2020-03,Finance,OmniIntelOS,Net Income,-26093.9786,USD,up,omniintelos:model-v1
2020-03,Finance,OmniIntelOS,Capital Expenditure,5200.0563,USD,down,omniintelos:model-v1
2020-03,Finance,OmniIntelOS,Cash Balance,712952.3695,USD,up,omniintelos:model-v1
2020-03,Finance,OmniIntelOS,Total Debt,232166.8006,USD,down,omniintelos:model-v1
2020-03,Finance,OmniIntelOS,Shareholders Equity,1329853.9439,USD,up,omniintelos:model-v1
2020-03,Finance,OmniIntelOS,Gross Margin,50.9175,%,up,omniintelos:model-v1
2020-03,Finance,OmniIntelOS,EBITDA Margin,-10.6031,%,up,omniintelos:model-v1
2020-03,Finance,OmniIntelOS,Net Profit Margin,-15.0541,%,up,omniintelos:model-v1
2020-03,Finance,OmniIntelOS,Debt to Equity,0.1746,x,down,omniintelos:model-v1
2020-03,Finance,OmniIntelOS,Chiffre d'affaires (XOF),105278188.4364,XOF,up,omniintelos:model-v1
2020-03,Finance,OmniIntelOS,Cash Runway,27.3225,months,up,omniintelos:model-v1
2020-04,Finance,OmniIntelOS,Revenue,182674.3451,USD,up,omniintelos:model-v1
2020-04,Finance,OmniIntelOS,Subscription Revenue,108078.8638,USD,up,omniintelos:model-v1
2020-04,Finance,OmniIntelOS,Professional Services Revenue,74595.4813,USD,up,omniintelos:model-v1
2020-04,Finance,OmniIntelOS,Data Centre Revenue,0.0,USD,up,omniintelos:model-v1
2020-04,Finance,OmniIntelOS,COGS,103340.6543,USD,down,omniintelos:model-v1
2020-04,Finance,OmniIntelOS,Gross Profit,79333.6907,USD,up,omniintelos:model-v1
2020-04,Finance,OmniIntelOS,Operating Expenses,109317.0148,USD,down,omniintelos:model-v1
2020-04,Finance,OmniIntelOS,Sales & Marketing Spend,40444.0609,USD,down,omniintelos:model-v1
2020-04,Finance,OmniIntelOS,R&D Spend,47756.3678,USD,down,omniintelos:model-v1
2020-04,Finance,OmniIntelOS,EBITDA,-29983.3241,USD,up,omniintelos:model-v1
2020-04,Finance,OmniIntelOS,Depreciation & Amortisation,6393.6021,USD,down,omniintelos:model-v1
2020-04,Finance,OmniIntelOS,Interest Expense,1630.2521,USD,down,omniintelos:model-v1
2020-04,Finance,OmniIntelOS,Taxes,0.0,USD,down,omniintelos:model-v1
2020-04,Finance,OmniIntelOS,Net Income,-38007.1782,USD,up,omniintelos:model-v1
2020-04,Finance,OmniIntelOS,Capital Expenditure,2283.4293,USD,down,omniintelos:model-v1
2020-04,Finance,OmniIntelOS,Cash Balance,679055.364,USD,up,omniintelos:model-v1
2020-04,Finance,OmniIntelOS,Total Debt,229612.9658,USD,down,omniintelos:model-v1
2020-04,Finance,OmniIntelOS,Shareholders Equity,1291846.7657,USD,up,omniintelos:model-v1
2020-04,Finance,OmniIntelOS,Gross Margin,43.429,%,up,omniintelos:model-v1
2020-04,Finance,OmniIntelOS,EBITDA Margin,-16.4135,%,up,omniintelos:model-v1
2020-04,Finance,OmniIntelOS,Net Profit Margin,-20.806,%,up,omniintelos:model-v1
2020-04,Finance,OmniIntelOS,Debt to Equity,0.1777,x,down,omniintelos:model-v1
2020-04,Finance,OmniIntelOS,Chiffre d'affaires (XOF),110950477.2079,XOF,up,omniintelos:model-v1
2020-04,Finance,OmniIntelOS,Cash Runway,17.8665,months,up,omniintelos:model-v1
2020-05,Finance,OmniIntelOS,Revenue,173985.9568,USD,up,omniintelos:model-v1
2020-05,Finance,OmniIntelOS,Subscription Revenue,108769.8843,USD,up,omniintelos:model-v1
2020-05,Finance,OmniIntelOS,Professional Services Revenue,65216.0724,USD,up,omniintelos:model-v1
2020-05,Finance,OmniIntelOS,Data Centre Revenue,0.0,USD,up,omniintelos:model-v1
2020-05,Finance,OmniIntelOS,COGS,95420.6176,USD,down,omniintelos:model-v1
2020-05,Finance,OmniIntelOS,Gross Profit,78565.3391,USD,up,omniintelos:model-v1
2020-05,Finance,OmniIntelOS,Operating Expenses,102677.6011,USD,down,omniintelos:model-v1
2020-05,Finance,OmniIntelOS,Sales & Marketing Spend,38202.176,USD,down,omniintelos:model-v1
2020-05,Finance,OmniIntelOS,R&D Spend,43928.6931,USD,down,omniintelos:model-v1
2020-05,Finance,OmniIntelOS,EBITDA,-24112.2619,USD,up,omniintelos:model-v1
2020-05,Finance,OmniIntelOS,Depreciation & Amortisation,6089.5085,USD,down,omniintelos:model-v1
2020-05,Finance,OmniIntelOS,Interest Expense,1612.3193,USD,down,omniintelos:model-v1
2020-05,Finance,OmniIntelOS,Taxes,0.0,USD,down,omniintelos:model-v1
2020-05,Finance,OmniIntelOS,Net Income,-31814.0897,USD,up,omniintelos:model-v1
2020-05,Finance,OmniIntelOS,Capital Expenditure,2174.8245,USD,down,omniintelos:model-v1
2020-05,Finance,OmniIntelOS,Cash Balance,651155.9584,USD,up,omniintelos:model-v1
2020-05,Finance,OmniIntelOS,Total Debt,227087.2231,USD,down,omniintelos:model-v1
2020-05,Finance,OmniIntelOS,Shareholders Equity,1260032.676,USD,up,omniintelos:model-v1
2020-05,Finance,OmniIntelOS,Gross Margin,45.1561,%,up,omniintelos:model-v1
2020-05,Finance,OmniIntelOS,EBITDA Margin,-13.8587,%,up,omniintelos:model-v1
2020-05,Finance,OmniIntelOS,Net Profit Margin,-18.2854,%,up,omniintelos:model-v1
2020-05,Finance,OmniIntelOS,Debt to Equity,0.1802,x,down,omniintelos:model-v1
2020-05,Finance,OmniIntelOS,Chiffre d'affaires (XOF),105673431.705,XOF,up,omniintelos:model-v1
2020-05,Finance,OmniIntelOS,Cash Runway,20.4675,months,up,omniintelos:model-v1
2020-06,Finance,OmniIntelOS,Revenue,185326.8609,USD,up,omniintelos:model-v1
2020-06,Finance,OmniIntelOS,Subscription Revenue,109704.6662,USD,up,omniintelos:model-v1
2020-06,Finance,OmniIntelOS,Professional Services Revenue,75622.1946,USD,up,omniintelos:model-v1
2020-06,Finance,OmniIntelOS,Data Centre Revenue,0.0,USD,up,omniintelos:model-v1
2020-06,Finance,OmniIntelOS,COGS,100773.3034,USD,down,omniintelos:model-v1
2020-06,Finance,OmniIntelOS,Gross Profit,84553.5575,USD,up,omniintelos:model-v1
2020-06,Finance,OmniIntelOS,Operating Expenses,110504.0695,USD,down,omniintelos:model-v1
2020-06,Finance,OmniIntelOS,Sales & Marketing Spend,41231.5491,USD,down,omniintelos:model-v1
2020-06,Finance,OmniIntelOS,R&D Spend,49655.4317,USD,down,omniintelos:model-v1
2020-06,Finance,OmniIntelOS,EBITDA,-25950.512,USD,up,omniintelos:model-v1
2020-06,Finance,OmniIntelOS,Depreciation & Amortisation,6486.4401,USD,down,omniintelos:model-v1
2020-06,Finance,OmniIntelOS,Interest Expense,1594.5838,USD,down,omniintelos:model-v1
2020-06,Finance,OmniIntelOS,Taxes,0.0,USD,down,omniintelos:model-v1
2020-06,Finance,OmniIntelOS,Net Income,-34031.5359,USD,up,omniintelos:model-v1
2020-06,Finance,OmniIntelOS,Capital Expenditure,2316.5858,USD,down,omniintelos:model-v1
2020-06,Finance,OmniIntelOS,Cash Balance,621294.2768,USD,up,omniintelos:model-v1
2020-06,Finance,OmniIntelOS,Total Debt,224589.2637,USD,down,omniintelos:model-v1
2020-06,Finance,OmniIntelOS,Shareholders Equity,1226001.1401,USD,up,omniintelos:model-v1
