period,category,segment,metric_name,value,unit,direction,source
2020-01,Growth,OmniIntelOS,ARR,1198996.1467,USD,up,omniintelos:model-v1
2020-01,Growth,OmniIntelOS,MRR,99916.3456,USD,up,omniintelos:model-v1
2020-01,Growth,OmniIntelOS,Customers,35.086,count,up,omniintelos:model-v1
2020-01,Growth,OmniIntelOS,New Customers,1.366,count,up,omniintelos:model-v1
2020-01,Growth,OmniIntelOS,Churned Customers,0.28,count,down,omniintelos:model-v1
2020-01,Growth,OmniIntelOS,Expansion Revenue,18125.3454,USD,up,omniintelos:model-v1
2020-01,Growth,OmniIntelOS,Contraction Revenue,4723.4813,USD,down,omniintelos:model-v1
2020-01,Growth,OmniIntelOS,Net Revenue Retention,100.3522,%,up,omniintelos:model-v1
2020-01,Growth,OmniIntelOS,Monthly Churn Rate,0.7918,%,down,omniintelos:model-v1
2020-01,Growth,OmniIntelOS,ARPU,2847.7582,USD,up,omniintelos:model-v1
2020-01,Growth,OmniIntelOS,CAC,28655.2839,USD,down,omniintelos:model-v1
2020-01,Growth,OmniIntelOS,LTV,177541.8906,USD,up,omniintelos:model-v1
2020-01,Growth,OmniIntelOS,LTV to CAC Ratio,6.1958,x,up,omniintelos:model-v1
2020-01,Growth,OmniIntelOS,CAC Payback Period,20.222,months,down,omniintelos:model-v1
2020-01,Growth,OmniIntelOS,YoY Revenue Growth,38.0,%,up,omniintelos:model-v1
2020-01,Growth,OmniIntelOS,Rule of 40,27.3663,%,up,omniintelos:model-v1
2020-02,Growth,OmniIntelOS,ARR,1223508.678,USD,up,omniintelos:model-v1
2020-02,Growth,OmniIntelOS,MRR,101959.0565,USD,up,omniintelos:model-v1
2020-02,Growth,OmniIntelOS,Customers,36.0391,count,up,omniintelos:model-v1
2020-02,Growth,OmniIntelOS,New Customers,1.3221,count,up,omniintelos:model-v1
2020-02,Growth,OmniIntelOS,Churned Customers,0.369,count,down,omniintelos:model-v1
