period,category,segment,metric_name,value,unit,direction,source
2020-01,IT,OmniIntelOS,System Uptime,99.9392,%,up,omniintelos:model-v1
2020-01,IT,OmniIntelOS,Mean Time To Resolution,1.2834,hours,down,omniintelos:model-v1
2020-01,IT,OmniIntelOS,Deployment Frequency,2.6475,per week,up,omniintelos:model-v1
2020-01,IT,OmniIntelOS,Change Failure Rate,7.1059,%,down,omniintelos:model-v1
2020-01,IT,OmniIntelOS,Critical Vulnerabilities,2.0,count,down,omniintelos:model-v1
2020-01,IT,OmniIntelOS,API P99 Latency,300.5434,ms,down,omniintelos:model-v1
2020-01,IT,OmniIntelOS,Total Incidents,13.1961,count,down,omniintelos:model-v1
2020-01,IT,OmniIntelOS,Critical Incidents,2.0,count,down,omniintelos:model-v1
2020-01,IT,OmniIntelOS,Open Tickets,6.3697,count,down,omniintelos:model-v1
2020-01,IT,OmniIntelOS,SLA Compliance,99.6,%,up,omniintelos:model-v1
2020-01,IT,OmniIntelOS,Security Score,82.5983,/100,up,omniintelos:model-v1
2020-01,IT,OmniIntelOS,Cloud Spend,8495.9516,USD,down,omniintelos:model-v1
2020-01,IT,OmniIntelOS,Active Users,1301.1857,count,up,omniintelos:model-v1
2020-01,IT,OmniIntelOS,Lead Time For Changes,27.8294,hours,down,omniintelos:model-v1
2020-02,IT,OmniIntelOS,System Uptime,99.9482,%,up,omniintelos:model-v1
2020-02,IT,OmniIntelOS,Mean Time To Resolution,1.1133,hours,down,omniintelos:model-v1
2020-02,IT,OmniIntelOS,Deployment Frequency,3.1542,per week,up,omniintelos:model-v1
2020-02,IT,OmniIntelOS,Change Failure Rate,6.4231,%,down,omniintelos:model-v1
2020-02,IT,OmniIntelOS,Critical Vulnerabilities,1.0,count,down,omniintelos:model-v1
2020-02,IT,OmniIntelOS,API P99 Latency,322.8829,ms,down,omniintelos:model-v1
2020-02,IT,OmniIntelOS,Total Incidents,11.5359,count,down,omniintelos:model-v1
2020-02,IT,OmniIntelOS,Critical Incidents,1.0,count,down,omniintelos:model-v1
2020-02,IT,OmniIntelOS,Open Tickets,4.2065,count,down,omniintelos:model-v1
2020-02,IT,OmniIntelOS,SLA Compliance,99.6,%,up,omniintelos:model-v1
2020-02,IT,OmniIntelOS,Security Score,86.3259,/100,up,omniintelos:model-v1
2020-02,IT,OmniIntelOS,Cloud Spend,8435.6825,USD,down,omniintelos:model-v1
2020-02,IT,OmniIntelOS,Active Users,1144.4959,count,up,omniintelos:model-v1
2020-02,IT,OmniIntelOS,Lead Time For Changes,29.0797,hours,down,omniintelos:model-v1
2020-03,IT,OmniIntelOS,System Uptime,99.9155,%,up,omniintelos:model-v1
2020-03,IT,OmniIntelOS,Mean Time To Resolution,0.9918,hours,down,omniintelos:model-v1
2020-03,IT,OmniIntelOS,Deployment Frequency,2.8521,per week,up,omniintelos:model-v1
2020-03,IT,OmniIntelOS,Change Failure Rate,5.8347,%,down,omniintelos:model-v1
2020-03,IT,OmniIntelOS,Critical Vulnerabilities,2.0,count,down,omniintelos:model-v1
2020-03,IT,OmniIntelOS,API P99 Latency,328.5327,ms,down,omniintelos:model-v1
2020-03,IT,OmniIntelOS,Total Incidents,15.1741,count,down,omniintelos:model-v1
2020-03,IT,OmniIntelOS,Critical Incidents,2.0,count,down,omniintelos:model-v1
2020-03,IT,OmniIntelOS,Open Tickets,12.244,count,down,omniintelos:model-v1
2020-03,IT,OmniIntelOS,SLA Compliance,99.2214,%,up,omniintelos:model-v1
2020-03,IT,OmniIntelOS,Security Score,84.6184,/100,up,omniintelos:model-v1
2020-03,IT,OmniIntelOS,Cloud Spend,9013.4309,USD,down,omniintelos:model-v1
2020-03,IT,OmniIntelOS,Active Users,1211.8168,count,up,omniintelos:model-v1
2020-03,IT,OmniIntelOS,Lead Time For Changes,25.634,hours,down,omniintelos:model-v1
2020-04,IT,OmniIntelOS,System Uptime,99.7146,%,up,omniintelos:model-v1
2020-04,IT,OmniIntelOS,Mean Time To Resolution,0.9331,hours,down,omniintelos:model-v1
2020-04,IT,OmniIntelOS,Deployment Frequency,3.0012,per week,up,omniintelos:model-v1
2020-04,IT,OmniIntelOS,Change Failure Rate,6.2882,%,down,omniintelos:model-v1
2020-04,IT,OmniIntelOS,Critical Vulnerabilities,2.0,count,down,omniintelos:model-v1
2020-04,IT,OmniIntelOS,API P99 Latency,311.444,ms,down,omniintelos:model-v1
2020-04,IT,OmniIntelOS,Total Incidents,12.7737,count,down,omniintelos:model-v1
2020-04,IT,OmniIntelOS,Critical Incidents,2.0,count,down,omniintelos:model-v1
2020-04,IT,OmniIntelOS,Open Tickets,4.2334,count,down,omniintelos:model-v1
2020-04,IT,OmniIntelOS,SLA Compliance,97.2112,%,up,omniintelos:model-v1
2020-04,IT,OmniIntelOS,Security Score,81.5193,/100,up,omniintelos:model-v1
2020-04,IT,OmniIntelOS,Cloud Spend,9499.0659,USD,down,omniintelos:model-v1
2020-04,IT,OmniIntelOS,Active Users,1255.7012,count,up,omniintelos:model-v1
2020-04,IT,OmniIntelOS,Lead Time For Changes,27.6518,hours,down,omniintelos:model-v1
2020-05,IT,OmniIntelOS,System Uptime,99.7184,%,up,omniintelos:model-v1
2020-05,IT,OmniIntelOS,Mean Time To Resolution,1.1944,hours,down,omniintelos:model-v1
