period,category,segment,metric_name,value,unit,direction,source
2020-01,Logistics,OmniIntelOS,On-Time Delivery Rate,96.9918,%,up,omniintelos:model-v1
2020-01,Logistics,OmniIntelOS,Order Fulfillment Cycle Time,46.682,hours,down,omniintelos:model-v1
2020-01,Logistics,OmniIntelOS,Inventory Turnover,5.2112,x,up,omniintelos:model-v1
2020-01,Logistics,OmniIntelOS,Supplier Defect Rate,0.7105,%,down,omniintelos:model-v1
2020-01,Logistics,OmniIntelOS,Carrying Cost of Inventory,19.2374,%,down,omniintelos:model-v1
2020-01,Logistics,OmniIntelOS,Total Orders,19.9652,count,up,omniintelos:model-v1
2020-01,Logistics,OmniIntelOS,Stockout Rate,2.1592,%,down,omniintelos:model-v1
2020-01,Logistics,OmniIntelOS,Warehouse Utilization,65.418,%,up,omniintelos:model-v1
2020-01,Logistics,OmniIntelOS,Average Lead Time,19.5153,days,down,omniintelos:model-v1
2020-02,Logistics,OmniIntelOS,On-Time Delivery Rate,94.6489,%,up,omniintelos:model-v1
2020-02,Logistics,OmniIntelOS,Order Fulfillment Cycle Time,44.4486,hours,down,omniintelos:model-v1
2020-02,Logistics,OmniIntelOS,Inventory Turnover,5.2844,x,up,omniintelos:model-v1
2020-02,Logistics,OmniIntelOS,Supplier Defect Rate,0.5817,%,down,omniintelos:model-v1
2020-02,Logistics,OmniIntelOS,Carrying Cost of Inventory,19.7919,%,down,omniintelos:model-v1
2020-02,Logistics,OmniIntelOS,Total Orders,13.7408,count,up,omniintelos:model-v1
2020-02,Logistics,OmniIntelOS,Stockout Rate,2.7045,%,down,omniintelos:model-v1
2020-02,Logistics,OmniIntelOS,Warehouse Utilization,62.6397,%,up,omniintelos:model-v1
2020-02,Logistics,OmniIntelOS,Average Lead Time,22.7219,days,down,omniintelos:model-v1
2020-03,Logistics,OmniIntelOS,On-Time Delivery Rate,97.1512,%,up,omniintelos:model-v1
2020-03,Logistics,OmniIntelOS,Order Fulfillment Cycle Time,46.9253,hours,down,omniintelos:model-v1
2020-03,Logistics,OmniIntelOS,Inventory Turnover,5.5595,x,up,omniintelos:model-v1
2020-03,Logistics,OmniIntelOS,Supplier Defect Rate,0.5367,%,down,omniintelos:model-v1
2020-03,Logistics,OmniIntelOS,Carrying Cost of Inventory,19.8668,%,down,omniintelos:model-v1
2020-03,Logistics,OmniIntelOS,Total Orders,18.1886,count,up,omniintelos:model-v1
2020-03,Logistics,OmniIntelOS,Stockout Rate,2.0121,%,down,omniintelos:model-v1
2020-03,Logistics,OmniIntelOS,Warehouse Utilization,59.9968,%,up,omniintelos:model-v1
2020-03,Logistics,OmniIntelOS,Average Lead Time,19.0407,days,down,omniintelos:model-v1
2020-04,Logistics,OmniIntelOS,On-Time Delivery Rate,84.7521,%,up,omniintelos:model-v1
2020-04,Logistics,OmniIntelOS,Order Fulfillment Cycle Time,46.4615,hours,down,omniintelos:model-v1
2020-04,Logistics,OmniIntelOS,Inventory Turnover,4.3418,x,up,omniintelos:model-v1
2020-04,Logistics,OmniIntelOS,Supplier Defect Rate,0.6413,%,down,omniintelos:model-v1
2020-04,Logistics,OmniIntelOS,Carrying Cost of Inventory,21.0932,%,down,omniintelos:model-v1
2020-04,Logistics,OmniIntelOS,Total Orders,19.5617,count,up,omniintelos:model-v1
2020-04,Logistics,OmniIntelOS,Stockout Rate,2.8453,%,down,omniintelos:model-v1
2020-04,Logistics,OmniIntelOS,Warehouse Utilization,60.8498,%,up,omniintelos:model-v1
2020-04,Logistics,OmniIntelOS,Average Lead Time,24.3209,days,down,omniintelos:model-v1
2020-05,Logistics,OmniIntelOS,On-Time Delivery Rate,83.2849,%,up,omniintelos:model-v1
2020-05,Logistics,OmniIntelOS,Order Fulfillment Cycle Time,51.0631,hours,down,omniintelos:model-v1
2020-05,Logistics,OmniIntelOS,Inventory Turnover,4.4888,x,up,omniintelos:model-v1
2020-05,Logistics,OmniIntelOS,Supplier Defect Rate,0.6728,%,down,omniintelos:model-v1
2020-05,Logistics,OmniIntelOS,Carrying Cost of Inventory,22.9213,%,down,omniintelos:model-v1
2020-05,Logistics,OmniIntelOS,Total Orders,14.0813,count,up,omniintelos:model-v1
2020-05,Logistics,OmniIntelOS,Stockout Rate,2.9058,%,down,omniintelos:model-v1
2020-05,Logistics,OmniIntelOS,Warehouse Utilization,60.1307,%,up,omniintelos:model-v1
2020-05,Logistics,OmniIntelOS,Average Lead Time,24.9805,days,down,omniintelos:model-v1
2020-06,Logistics,OmniIntelOS,On-Time Delivery Rate,83.6559,%,up,omniintelos:model-v1
2020-06,Logistics,OmniIntelOS,Order Fulfillment Cycle Time,51.8683,hours,down,omniintelos:model-v1
2020-06,Logistics,OmniIntelOS,Inventory Turnover,4.7941,x,up,omniintelos:model-v1
2020-06,Logistics,OmniIntelOS,Supplier Defect Rate,0.7094,%,down,omniintelos:model-v1
2020-06,Logistics,OmniIntelOS,Carrying Cost of Inventory,21.0625,%,down,omniintelos:model-v1
2020-06,Logistics,OmniIntelOS,Total Orders,15.2824,count,up,omniintelos:model-v1
2020-06,Logistics,OmniIntelOS,Stockout Rate,3.1642,%,down,omniintelos:model-v1
2020-06,Logistics,OmniIntelOS,Warehouse Utilization,66.4429,%,up,omniintelos:model-v1
2020-06,Logistics,OmniIntelOS,Average Lead Time,22.4173,days,down,omniintelos:model-v1
2020-07,Logistics,OmniIntelOS,On-Time Delivery Rate,85.7747,%,up,omniintelos:model-v1
2020-07,Logistics,OmniIntelOS,Order Fulfillment Cycle Time,52.9516,hours,down,omniintelos:model-v1
2020-07,Logistics,OmniIntelOS,Inventory Turnover,5.0116,x,up,omniintelos:model-v1
2020-07,Logistics,OmniIntelOS,Supplier Defect Rate,0.6017,%,down,omniintelos:model-v1
2020-07,Logistics,OmniIntelOS,Carrying Cost of Inventory,20.7646,%,down,omniintelos:model-v1
2020-07,Logistics,OmniIntelOS,Total Orders,21.1967,count,up,omniintelos:model-v1
2020-07,Logistics,OmniIntelOS,Stockout Rate,2.8434,%,down,omniintelos:model-v1
2020-07,Logistics,OmniIntelOS,Warehouse Utilization,61.6274,%,up,omniintelos:model-v1
2020-07,Logistics,OmniIntelOS,Average Lead Time,23.7366,days,down,omniintelos:model-v1
