period,category,segment,metric_name,value,unit,direction,source
2020-01,Operations,OmniIntelOS,Availability,94.716,%,up,omniintelos:model-v1
2020-01,Operations,OmniIntelOS,Performance,93.5522,%,up,omniintelos:model-v1
2020-01,Operations,OmniIntelOS,Quality Rate,96.2592,%,up,omniintelos:model-v1
2020-01,Operations,OmniIntelOS,Overall Equipment Effectiveness,85.2943,%,up,omniintelos:model-v1
2020-01,Operations,OmniIntelOS,Defect Rate,3.0674,%,down,omniintelos:model-v1
2020-01,Operations,OmniIntelOS,First Pass Yield,93.0574,%,up,omniintelos:model-v1
2020-01,Operations,OmniIntelOS,Cycle Time Efficiency,94.2723,%,up,omniintelos:model-v1
2020-01,Operations,OmniIntelOS,Mean Time Between Failures,863.6153,hours,up,omniintelos:model-v1
2020-01,Operations,OmniIntelOS,Throughput,83.4358,count,up,omniintelos:model-v1
2020-01,Operations,OmniIntelOS,Capacity Utilization,78.8912,%,up,omniintelos:model-v1
2020-01,Operations,OmniIntelOS,Safety Incidents,2.0,count,down,omniintelos:model-v1
2020-01,Operations,OmniIntelOS,Downtime Hours,9.511,hours,down,omniintelos:model-v1
2020-02,Operations,OmniIntelOS,Availability,95.5326,%,up,omniintelos:model-v1
2020-02,Operations,OmniIntelOS,Performance,92.7773,%,up,omniintelos:model-v1
2020-02,Operations,OmniIntelOS,Quality Rate,95.9997,%,up,omniintelos:model-v1
2020-02,Operations,OmniIntelOS,Overall Equipment Effectiveness,85.0869,%,up,omniintelos:model-v1
2020-02,Operations,OmniIntelOS,Defect Rate,3.2803,%,down,omniintelos:model-v1
2020-02,Operations,OmniIntelOS,First Pass Yield,94.4071,%,up,omniintelos:model-v1
2020-02,Operations,OmniIntelOS,Cycle Time Efficiency,94.9466,%,up,omniintelos:model-v1
2020-02,Operations,OmniIntelOS,Mean Time Between Failures,917.5501,hours,up,omniintelos:model-v1
2020-02,Operations,OmniIntelOS,Throughput,95.2895,count,up,omniintelos:model-v1
2020-02,Operations,OmniIntelOS,Capacity Utilization,82.4109,%,up,omniintelos:model-v1
2020-02,Operations,OmniIntelOS,Safety Incidents,2.0,count,down,omniintelos:model-v1
2020-02,Operations,OmniIntelOS,Downtime Hours,9.2736,hours,down,omniintelos:model-v1
2020-03,Operations,OmniIntelOS,Availability,95.9963,%,up,omniintelos:model-v1
2020-03,Operations,OmniIntelOS,Performance,94.1911,%,up,omniintelos:model-v1
2020-03,Operations,OmniIntelOS,Quality Rate,96.3406,%,up,omniintelos:model-v1
2020-03,Operations,OmniIntelOS,Overall Equipment Effectiveness,87.1112,%,up,omniintelos:model-v1
2020-03,Operations,OmniIntelOS,Defect Rate,3.0007,%,down,omniintelos:model-v1
