period,category,segment,metric_name,value,unit,direction,source
2020-01,People,OmniIntelOS,Headcount,27.9667,count,up,omniintelos:model-v1
2020-01,People,OmniIntelOS,New Hires,0.2933,count,up,omniintelos:model-v1
2020-01,People,OmniIntelOS,Separations,0.3266,count,down,omniintelos:model-v1
2020-01,People,OmniIntelOS,Annual Employee Turnover,14.0134,%,down,omniintelos:model-v1
2020-01,People,OmniIntelOS,Time to Hire,32.5219,days,down,omniintelos:model-v1
2020-01,People,OmniIntelOS,Employee Net Promoter Score,26.128,score,up,omniintelos:model-v1
2020-01,People,OmniIntelOS,Revenue per Employee,70104.9484,USD,up,omniintelos:model-v1
2020-01,People,OmniIntelOS,Open Positions,1.1198,count,down,omniintelos:model-v1
2020-01,People,OmniIntelOS,Offers Extended,1.0,count,up,omniintelos:model-v1
2020-01,People,OmniIntelOS,Offers Accepted,0.8867,count,up,omniintelos:model-v1
2020-01,People,OmniIntelOS,Offer Acceptance Rate,88.6671,%,up,omniintelos:model-v1
2020-01,People,OmniIntelOS,Training Hours per Employee,8.3201,hours,up,omniintelos:model-v1
2020-01,People,OmniIntelOS,Absenteeism Rate,2.655,%,down,omniintelos:model-v1
2020-01,People,OmniIntelOS,Cost Per Hire,2916.8488,USD,down,omniintelos:model-v1
2020-02,People,OmniIntelOS,Headcount,28.2777,count,up,omniintelos:model-v1
2020-02,People,OmniIntelOS,New Hires,0.5478,count,up,omniintelos:model-v1
2020-02,People,OmniIntelOS,Separations,0.2368,count,down,omniintelos:model-v1
2020-02,People,OmniIntelOS,Annual Employee Turnover,10.049,%,down,omniintelos:model-v1
2020-02,People,OmniIntelOS,Time to Hire,36.4925,days,down,omniintelos:model-v1
2020-02,People,OmniIntelOS,Employee Net Promoter Score,31.0431,score,up,omniintelos:model-v1
2020-02,People,OmniIntelOS,Revenue per Employee,68841.9887,USD,up,omniintelos:model-v1
2020-02,People,OmniIntelOS,Open Positions,1.3474,count,down,omniintelos:model-v1
2020-02,People,OmniIntelOS,Offers Extended,1.0,count,up,omniintelos:model-v1
2020-02,People,OmniIntelOS,Offers Accepted,0.8894,count,up,omniintelos:model-v1
2020-02,People,OmniIntelOS,Offer Acceptance Rate,88.9425,%,up,omniintelos:model-v1
2020-02,People,OmniIntelOS,Training Hours per Employee,9.6181,hours,up,omniintelos:model-v1
2020-02,People,OmniIntelOS,Absenteeism Rate,3.16,%,down,omniintelos:model-v1
2020-02,People,OmniIntelOS,Cost Per Hire,2969.3799,USD,down,omniintelos:model-v1
2020-03,People,OmniIntelOS,Headcount,28.836,count,up,omniintelos:model-v1
2020-03,People,OmniIntelOS,New Hires,0.8763,count,up,omniintelos:model-v1
2020-03,People,OmniIntelOS,Separations,0.318,count,down,omniintelos:model-v1
2020-03,People,OmniIntelOS,Annual Employee Turnover,13.2333,%,down,omniintelos:model-v1
2020-03,People,OmniIntelOS,Time to Hire,29.8584,days,down,omniintelos:model-v1
2020-03,People,OmniIntelOS,Employee Net Promoter Score,27.9439,score,up,omniintelos:model-v1
2020-03,People,OmniIntelOS,Revenue per Employee,72132.7775,USD,up,omniintelos:model-v1
2020-03,People,OmniIntelOS,Open Positions,2.0183,count,down,omniintelos:model-v1
2020-03,People,OmniIntelOS,Offers Extended,1.0953,count,up,omniintelos:model-v1
2020-03,People,OmniIntelOS,Offers Accepted,0.9629,count,up,omniintelos:model-v1
2020-03,People,OmniIntelOS,Offer Acceptance Rate,87.9047,%,up,omniintelos:model-v1
2020-03,People,OmniIntelOS,Training Hours per Employee,9.1617,hours,up,omniintelos:model-v1
2020-03,People,OmniIntelOS,Absenteeism Rate,2.8776,%,down,omniintelos:model-v1
2020-03,People,OmniIntelOS,Cost Per Hire,3082.0005,USD,down,omniintelos:model-v1
2020-04,People,OmniIntelOS,Headcount,30.1485,count,up,omniintelos:model-v1
2020-04,People,OmniIntelOS,New Hires,1.6085,count,up,omniintelos:model-v1
2020-04,People,OmniIntelOS,Separations,0.296,count,down,omniintelos:model-v1
2020-04,People,OmniIntelOS,Annual Employee Turnover,11.7805,%,down,omniintelos:model-v1
2020-04,People,OmniIntelOS,Time to Hire,35.814,days,down,omniintelos:model-v1
2020-04,People,OmniIntelOS,Employee Net Promoter Score,27.4958,score,up,omniintelos:model-v1
2020-04,People,OmniIntelOS,Revenue per Employee,72709.781,USD,up,omniintelos:model-v1
2020-04,People,OmniIntelOS,Open Positions,2.0667,count,down,omniintelos:model-v1
2020-04,People,OmniIntelOS,Offers Extended,2.0106,count,up,omniintelos:model-v1
2020-04,People,OmniIntelOS,Offers Accepted,1.4861,count,up,omniintelos:model-v1
2020-04,People,OmniIntelOS,Offer Acceptance Rate,73.915,%,up,omniintelos:model-v1
2020-04,People,OmniIntelOS,Training Hours per Employee,7.4675,hours,up,omniintelos:model-v1
2020-04,People,OmniIntelOS,Absenteeism Rate,3.2347,%,down,omniintelos:model-v1
2020-04,People,OmniIntelOS,Cost Per Hire,3492.5414,USD,down,omniintelos:model-v1
2020-05,People,OmniIntelOS,Headcount,31.0661,count,up,omniintelos:model-v1
2020-05,People,OmniIntelOS,New Hires,1.2269,count,up,omniintelos:model-v1
2020-05,People,OmniIntelOS,Separations,0.3093,count,down,omniintelos:model-v1
2020-05,People,OmniIntelOS,Annual Employee Turnover,11.9485,%,down,omniintelos:model-v1
2020-05,People,OmniIntelOS,Time to Hire,33.3517,days,down,omniintelos:model-v1
2020-05,People,OmniIntelOS,Employee Net Promoter Score,27.2437,score,up,omniintelos:model-v1
2020-05,People,OmniIntelOS,Revenue per Employee,67206.1764,USD,up,omniintelos:model-v1
2020-05,People,OmniIntelOS,Open Positions,2.3289,count,down,omniintelos:model-v1
2020-05,People,OmniIntelOS,Offers Extended,1.5336,count,up,omniintelos:model-v1
2020-05,People,OmniIntelOS,Offers Accepted,1.2036,count,up,omniintelos:model-v1
2020-05,People,OmniIntelOS,Offer Acceptance Rate,78.4839,%,up,omniintelos:model-v1
2020-05,People,OmniIntelOS,Training Hours per Employee,7.6262,hours,up,omniintelos:model-v1
2020-05,People,OmniIntelOS,Absenteeism Rate,3.4609,%,down,omniintelos:model-v1
2020-05,People,OmniIntelOS,Cost Per Hire,3215.3903,USD,down,omniintelos:model-v1
2020-06,People,OmniIntelOS,Headcount,31.1393,count,up,omniintelos:model-v1
2020-06,People,OmniIntelOS,New Hires,0.3933,count,up,omniintelos:model-v1
2020-06,People,OmniIntelOS,Separations,0.3201,count,down,omniintelos:model-v1
2020-06,People,OmniIntelOS,Annual Employee Turnover,12.3343,%,down,omniintelos:model-v1
2020-06,People,OmniIntelOS,Time to Hire,36.4309,days,down,omniintelos:model-v1
2020-06,People,OmniIntelOS,Employee Net Promoter Score,27.2647,score,up,omniintelos:model-v1
2020-06,People,OmniIntelOS,Revenue per Employee,71418.4386,USD,up,omniintelos:model-v1
2020-06,People,OmniIntelOS,Open Positions,1.1714,count,down,omniintelos:model-v1
2020-06,People,OmniIntelOS,Offers Extended,1.0,count,up,omniintelos:model-v1
2020-06,People,OmniIntelOS,Offers Accepted,0.7772,count,up,omniintelos:model-v1
2020-06,People,OmniIntelOS,Offer Acceptance Rate,77.7172,%,up,omniintelos:model-v1
2020-06,People,OmniIntelOS,Training Hours per Employee,7.5586,hours,up,omniintelos:model-v1
2020-06,People,OmniIntelOS,Absenteeism Rate,3.2281,%,down,omniintelos:model-v1
2020-06,People,OmniIntelOS,Cost Per Hire,3391.6698,USD,down,omniintelos:model-v1
2020-07,People,OmniIntelOS,Headcount,32.5898,count,up,omniintelos:model-v1
2020-07,People,OmniIntelOS,New Hires,1.881,count,up,omniintelos:model-v1
2020-07,People,OmniIntelOS,Separations,0.4305,count,down,omniintelos:model-v1
2020-07,People,OmniIntelOS,Annual Employee Turnover,15.8514,%,down,omniintelos:model-v1
2020-07,People,OmniIntelOS,Time to Hire,35.9221,days,down,omniintelos:model-v1
2020-07,People,OmniIntelOS,Employee Net Promoter Score,25.4398,score,up,omniintelos:model-v1
2020-07,People,OmniIntelOS,Revenue per Employee,68089.2743,USD,up,omniintelos:model-v1
2020-07,People,OmniIntelOS,Open Positions,3.4258,count,down,omniintelos:model-v1
2020-07,People,OmniIntelOS,Offers Extended,2.3512,count,up,omniintelos:model-v1
2020-07,People,OmniIntelOS,Offers Accepted,1.8586,count,up,omniintelos:model-v1
2020-07,People,OmniIntelOS,Offer Acceptance Rate,79.0498,%,up,omniintelos:model-v1
2020-07,People,OmniIntelOS,Training Hours per Employee,8.1821,hours,up,omniintelos:model-v1
2020-07,People,OmniIntelOS,Absenteeism Rate,3.0507,%,down,omniintelos:model-v1
2020-07,People,OmniIntelOS,Cost Per Hire,3207.4398,USD,down,omniintelos:model-v1
2020-08,People,OmniIntelOS,Headcount,33.0184,count,up,omniintelos:model-v1
2020-08,People,OmniIntelOS,New Hires,0.7455,count,up,omniintelos:model-v1
2020-08,People,OmniIntelOS,Separations,0.3169,count,down,omniintelos:model-v1
2020-08,People,OmniIntelOS,Annual Employee Turnover,11.5156,%,down,omniintelos:model-v1
2020-08,People,OmniIntelOS,Time to Hire,33.5715,days,down,omniintelos:model-v1
2020-08,People,OmniIntelOS,Employee Net Promoter Score,26.7644,score,up,omniintelos:model-v1
2020-08,People,OmniIntelOS,Revenue per Employee,64059.2103,USD,up,omniintelos:model-v1
2020-08,People,OmniIntelOS,Open Positions,1.0,count,down,omniintelos:model-v1
2020-08,People,OmniIntelOS,Offers Extended,1.0,count,up,omniintelos:model-v1
2020-08,People,OmniIntelOS,Offers Accepted,0.7352,count,up,omniintelos:model-v1
2020-08,People,OmniIntelOS,Offer Acceptance Rate,73.5156,%,up,omniintelos:model-v1
2020-08,People,OmniIntelOS,Training Hours per Employee,9.1658,hours,up,omniintelos:model-v1
2020-08,People,OmniIntelOS,Absenteeism Rate,3.4029,%,down,omniintelos:model-v1
2020-08,People,OmniIntelOS,Cost Per Hire,3087.1076,USD,down,omniintelos:model-v1
2020-09,People,OmniIntelOS,Headcount,34.406,count,up,omniintelos:model-v1
2020-09,People,OmniIntelOS,New Hires,1.8086,count,up,omniintelos:model-v1
2020-09,People,OmniIntelOS,Separations,0.421,count,down,omniintelos:model-v1
2020-09,People,OmniIntelOS,Annual Employee Turnover,14.683,%,down,omniintelos:model-v1
2020-09,People,OmniIntelOS,Time to Hire,33.8059,days,down,omniintelos:model-v1
2020-09,People,OmniIntelOS,Employee Net Promoter Score,24.2915,score,up,omniintelos:model-v1
2020-09,People,OmniIntelOS,Revenue per Employee,63745.3573,USD,up,omniintelos:model-v1
2020-09,People,OmniIntelOS,Open Positions,2.5115,count,down,omniintelos:model-v1
2020-09,People,OmniIntelOS,Offers Extended,2.2607,count,up,omniintelos:model-v1
2020-09,People,OmniIntelOS,Offers Accepted,1.7185,count,up,omniintelos:model-v1
2020-09,People,OmniIntelOS,Offer Acceptance Rate,76.0156,%,up,omniintelos:model-v1
2020-09,People,OmniIntelOS,Training Hours per Employee,8.4465,hours,up,omniintelos:model-v1
2020-09,People,OmniIntelOS,Absenteeism Rate,3.0432,%,down,omniintelos:model-v1
2020-09,People,OmniIntelOS,Cost Per Hire,3232.2814,USD,down,omniintelos:model-v1
2020-10,People,OmniIntelOS,Headcount,35.4527,count,up,omniintelos:model-v1
2020-10,People,OmniIntelOS,New Hires,1.3381,count,up,omniintelos:model-v1
2020-10,People,OmniIntelOS,Separations,0.2914,count,down,omniintelos:model-v1
