period,category,segment,metric_name,value,unit,direction,source
2019-01,ESG,US,"CO2 Emissions, Transport",5159.726035,tonnes_CO2e,down,fred:EMISSCO2TOTVTTTOUSA
2020-01,ESG,US,"CO2 Emissions, Transport",4594.7178,tonnes_CO2e,down,fred:EMISSCO2TOTVTTTOUSA
2021-01,ESG,US,"CO2 Emissions, Transport",4911.226943,tonnes_CO2e,down,fred:EMISSCO2TOTVTTTOUSA
2020-01,ESG,Africa Eastern and Southern,Renewable Energy Share,65.7823798017466,%,up,worldbank:EG.FEC.RNEW.ZS
2019-01,ESG,Africa Eastern and Southern,Renewable Energy Share,62.6907096127666,%,up,worldbank:EG.FEC.RNEW.ZS
2018-01,ESG,Africa Eastern and Southern,Renewable Energy Share,61.5875298317964,%,up,worldbank:EG.FEC.RNEW.ZS
2017-01,ESG,Africa Eastern and Southern,Renewable Energy Share,61.4269497576408,%,up,worldbank:EG.FEC.RNEW.ZS
2016-01,ESG,Africa Eastern and Southern,Renewable Energy Share,61.8228841937413,%,up,worldbank:EG.FEC.RNEW.ZS
2015-01,ESG,Africa Eastern and Southern,Renewable Energy Share,61.6702780479896,%,up,worldbank:EG.FEC.RNEW.ZS
2020-01,ESG,Africa Western and Central,Renewable Energy Share,75.846980103796,%,up,worldbank:EG.FEC.RNEW.ZS
2019-01,ESG,Africa Western and Central,Renewable Energy Share,75.0787881678252,%,up,worldbank:EG.FEC.RNEW.ZS
2018-01,ESG,Africa Western and Central,Renewable Energy Share,75.4765777368905,%,up,worldbank:EG.FEC.RNEW.ZS
2017-01,ESG,Africa Western and Central,Renewable Energy Share,76.1016805879549,%,up,worldbank:EG.FEC.RNEW.ZS
2016-01,ESG,Africa Western and Central,Renewable Energy Share,75.7968398295924,%,up,worldbank:EG.FEC.RNEW.ZS
2015-01,ESG,Africa Western and Central,Renewable Energy Share,76.181670524591,%,up,worldbank:EG.FEC.RNEW.ZS
2020-01,ESG,European Union,Renewable Energy Share,21.0591470733795,%,up,worldbank:EG.FEC.RNEW.ZS
2019-01,ESG,European Union,Renewable Energy Share,19.3440009483852,%,up,worldbank:EG.FEC.RNEW.ZS
2018-01,ESG,European Union,Renewable Energy Share,18.7249884796166,%,up,worldbank:EG.FEC.RNEW.ZS
2017-01,ESG,European Union,Renewable Energy Share,17.6857102209371,%,up,worldbank:EG.FEC.RNEW.ZS
2016-01,ESG,European Union,Renewable Energy Share,17.523235814157,%,up,worldbank:EG.FEC.RNEW.ZS
2015-01,ESG,European Union,Renewable Energy Share,17.6122764341327,%,up,worldbank:EG.FEC.RNEW.ZS
2020-01,ESG,Sub-Saharan Africa,Renewable Energy Share,70.2701133853785,%,up,worldbank:EG.FEC.RNEW.ZS
2019-01,ESG,Sub-Saharan Africa,Renewable Energy Share,68.1693850218034,%,up,worldbank:EG.FEC.RNEW.ZS
2018-01,ESG,Sub-Saharan Africa,Renewable Energy Share,67.6660713231228,%,up,worldbank:EG.FEC.RNEW.ZS
2017-01,ESG,Sub-Saharan Africa,Renewable Energy Share,67.8175544668556,%,up,worldbank:EG.FEC.RNEW.ZS
2016-01,ESG,Sub-Saharan Africa,Renewable Energy Share,67.9625238161754,%,up,worldbank:EG.FEC.RNEW.ZS
2015-01,ESG,Sub-Saharan Africa,Renewable Energy Share,68.0255515815612,%,up,worldbank:EG.FEC.RNEW.ZS
2020-01,ESG,World,Renewable Energy Share,19.7355641050053,%,up,worldbank:EG.FEC.RNEW.ZS
2019-01,ESG,World,Renewable Energy Share,18.5751641385934,%,up,worldbank:EG.FEC.RNEW.ZS
2018-01,ESG,World,Renewable Energy Share,18.1052270747944,%,up,worldbank:EG.FEC.RNEW.ZS
2017-01,ESG,World,Renewable Energy Share,17.8541835016377,%,up,worldbank:EG.FEC.RNEW.ZS
2016-01,ESG,World,Renewable Energy Share,17.6281084915531,%,up,worldbank:EG.FEC.RNEW.ZS
2015-01,ESG,World,Renewable Energy Share,17.4035082673572,%,up,worldbank:EG.FEC.RNEW.ZS
2022-01,ESG,Burkina Faso,Renewable Energy Share,71.4,%,up,worldbank:EG.FEC.RNEW.ZS
2021-01,ESG,Burkina Faso,Renewable Energy Share,71.2,%,up,worldbank:EG.FEC.RNEW.ZS
2020-01,ESG,Burkina Faso,Renewable Energy Share,73.1,%,up,worldbank:EG.FEC.RNEW.ZS
2019-01,ESG,Burkina Faso,Renewable Energy Share,72.7,%,up,worldbank:EG.FEC.RNEW.ZS
2018-01,ESG,Burkina Faso,Renewable Energy Share,73.7,%,up,worldbank:EG.FEC.RNEW.ZS
2017-01,ESG,Burkina Faso,Renewable Energy Share,74.6,%,up,worldbank:EG.FEC.RNEW.ZS
2016-01,ESG,Burkina Faso,Renewable Energy Share,77.1,%,up,worldbank:EG.FEC.RNEW.ZS
2015-01,ESG,Burkina Faso,Renewable Energy Share,78.8,%,up,worldbank:EG.FEC.RNEW.ZS
2021-01,ESG,China,Renewable Energy Share,15.2,%,up,worldbank:EG.FEC.RNEW.ZS
2020-01,ESG,China,Renewable Energy Share,14.9,%,up,worldbank:EG.FEC.RNEW.ZS
2019-01,ESG,China,Renewable Energy Share,14.3,%,up,worldbank:EG.FEC.RNEW.ZS
2018-01,ESG,China,Renewable Energy Share,13.5,%,up,worldbank:EG.FEC.RNEW.ZS
2017-01,ESG,China,Renewable Energy Share,13.1,%,up,worldbank:EG.FEC.RNEW.ZS
2016-01,ESG,China,Renewable Energy Share,12.6,%,up,worldbank:EG.FEC.RNEW.ZS
2015-01,ESG,China,Renewable Energy Share,12.2,%,up,worldbank:EG.FEC.RNEW.ZS
2021-01,ESG,Cote d'Ivoire,Renewable Energy Share,58.2,%,up,worldbank:EG.FEC.RNEW.ZS
2020-01,ESG,Cote d'Ivoire,Renewable Energy Share,61.8,%,up,worldbank:EG.FEC.RNEW.ZS
2019-01,ESG,Cote d'Ivoire,Renewable Energy Share,61.1,%,up,worldbank:EG.FEC.RNEW.ZS
2018-01,ESG,Cote d'Ivoire,Renewable Energy Share,60.5,%,up,worldbank:EG.FEC.RNEW.ZS
2017-01,ESG,Cote d'Ivoire,Renewable Energy Share,62.5,%,up,worldbank:EG.FEC.RNEW.ZS
2016-01,ESG,Cote d'Ivoire,Renewable Energy Share,64.0,%,up,worldbank:EG.FEC.RNEW.ZS
2015-01,ESG,Cote d'Ivoire,Renewable Energy Share,64.5,%,up,worldbank:EG.FEC.RNEW.ZS
2021-01,ESG,France,Renewable Energy Share,16.2,%,up,worldbank:EG.FEC.RNEW.ZS
2020-01,ESG,France,Renewable Energy Share,16.8,%,up,worldbank:EG.FEC.RNEW.ZS
2019-01,ESG,France,Renewable Energy Share,15.5,%,up,worldbank:EG.FEC.RNEW.ZS
2018-01,ESG,France,Renewable Energy Share,15.2,%,up,worldbank:EG.FEC.RNEW.ZS
2017-01,ESG,France,Renewable Energy Share,14.1,%,up,worldbank:EG.FEC.RNEW.ZS
2016-01,ESG,France,Renewable Energy Share,14.2,%,up,worldbank:EG.FEC.RNEW.ZS
2015-01,ESG,France,Renewable Energy Share,13.3,%,up,worldbank:EG.FEC.RNEW.ZS
2021-01,ESG,Germany,Renewable Energy Share,17.6,%,up,worldbank:EG.FEC.RNEW.ZS
2020-01,ESG,Germany,Renewable Energy Share,18.5,%,up,worldbank:EG.FEC.RNEW.ZS
2019-01,ESG,Germany,Renewable Energy Share,17.1,%,up,worldbank:EG.FEC.RNEW.ZS
2018-01,ESG,Germany,Renewable Energy Share,16.0,%,up,worldbank:EG.FEC.RNEW.ZS
2017-01,ESG,Germany,Renewable Energy Share,15.2,%,up,worldbank:EG.FEC.RNEW.ZS
2016-01,ESG,Germany,Renewable Energy Share,14.2,%,up,worldbank:EG.FEC.RNEW.ZS
2015-01,ESG,Germany,Renewable Energy Share,14.6,%,up,worldbank:EG.FEC.RNEW.ZS
2021-01,ESG,India,Renewable Energy Share,34.9,%,up,worldbank:EG.FEC.RNEW.ZS
2020-01,ESG,India,Renewable Energy Share,36.1,%,up,worldbank:EG.FEC.RNEW.ZS
2019-01,ESG,India,Renewable Energy Share,33.5,%,up,worldbank:EG.FEC.RNEW.ZS
2018-01,ESG,India,Renewable Energy Share,32.9,%,up,worldbank:EG.FEC.RNEW.ZS
2017-01,ESG,India,Renewable Energy Share,32.5,%,up,worldbank:EG.FEC.RNEW.ZS
2016-01,ESG,India,Renewable Energy Share,33.0,%,up,worldbank:EG.FEC.RNEW.ZS
2015-01,ESG,India,Renewable Energy Share,33.4,%,up,worldbank:EG.FEC.RNEW.ZS
2021-01,ESG,Japan,Renewable Energy Share,8.8,%,up,worldbank:EG.FEC.RNEW.ZS
2020-01,ESG,Japan,Renewable Energy Share,8.5,%,up,worldbank:EG.FEC.RNEW.ZS
2019-01,ESG,Japan,Renewable Energy Share,7.8,%,up,worldbank:EG.FEC.RNEW.ZS
2018-01,ESG,Japan,Renewable Energy Share,7.3,%,up,worldbank:EG.FEC.RNEW.ZS
2017-01,ESG,Japan,Renewable Energy Share,6.9,%,up,worldbank:EG.FEC.RNEW.ZS
2016-01,ESG,Japan,Renewable Energy Share,6.4,%,up,worldbank:EG.FEC.RNEW.ZS
2015-01,ESG,Japan,Renewable Energy Share,6.2,%,up,worldbank:EG.FEC.RNEW.ZS
2022-01,ESG,Mali,Renewable Energy Share,71.1,%,up,worldbank:EG.FEC.RNEW.ZS
2021-01,ESG,Mali,Renewable Energy Share,71.2,%,up,worldbank:EG.FEC.RNEW.ZS
2020-01,ESG,Mali,Renewable Energy Share,72.8,%,up,worldbank:EG.FEC.RNEW.ZS
2019-01,ESG,Mali,Renewable Energy Share,74.9,%,up,worldbank:EG.FEC.RNEW.ZS
2018-01,ESG,Mali,Renewable Energy Share,77.2,%,up,worldbank:EG.FEC.RNEW.ZS
2017-01,ESG,Mali,Renewable Energy Share,77.0,%,up,worldbank:EG.FEC.RNEW.ZS
2016-01,ESG,Mali,Renewable Energy Share,77.9,%,up,worldbank:EG.FEC.RNEW.ZS
2015-01,ESG,Mali,Renewable Energy Share,81.2,%,up,worldbank:EG.FEC.RNEW.ZS
2021-01,ESG,Niger,Renewable Energy Share,79.6,%,up,worldbank:EG.FEC.RNEW.ZS
2020-01,ESG,Niger,Renewable Energy Share,81.9,%,up,worldbank:EG.FEC.RNEW.ZS
2019-01,ESG,Niger,Renewable Energy Share,80.7,%,up,worldbank:EG.FEC.RNEW.ZS
2018-01,ESG,Niger,Renewable Energy Share,82.0,%,up,worldbank:EG.FEC.RNEW.ZS
2017-01,ESG,Niger,Renewable Energy Share,82.0,%,up,worldbank:EG.FEC.RNEW.ZS
2016-01,ESG,Niger,Renewable Energy Share,80.2,%,up,worldbank:EG.FEC.RNEW.ZS
2015-01,ESG,Niger,Renewable Energy Share,78.9,%,up,worldbank:EG.FEC.RNEW.ZS
2021-01,ESG,Nigeria,Renewable Energy Share,80.3,%,up,worldbank:EG.FEC.RNEW.ZS
2020-01,ESG,Nigeria,Renewable Energy Share,81.8,%,up,worldbank:EG.FEC.RNEW.ZS
2019-01,ESG,Nigeria,Renewable Energy Share,80.1,%,up,worldbank:EG.FEC.RNEW.ZS
2018-01,ESG,Nigeria,Renewable Energy Share,80.8,%,up,worldbank:EG.FEC.RNEW.ZS
2017-01,ESG,Nigeria,Renewable Energy Share,81.6,%,up,worldbank:EG.FEC.RNEW.ZS
2016-01,ESG,Nigeria,Renewable Energy Share,81.1,%,up,worldbank:EG.FEC.RNEW.ZS
2015-01,ESG,Nigeria,Renewable Energy Share,81.3,%,up,worldbank:EG.FEC.RNEW.ZS
2021-01,ESG,Senegal,Renewable Energy Share,35.4,%,up,worldbank:EG.FEC.RNEW.ZS
2020-01,ESG,Senegal,Renewable Energy Share,38.7,%,up,worldbank:EG.FEC.RNEW.ZS
2019-01,ESG,Senegal,Renewable Energy Share,36.2,%,up,worldbank:EG.FEC.RNEW.ZS
2018-01,ESG,Senegal,Renewable Energy Share,34.2,%,up,worldbank:EG.FEC.RNEW.ZS
2017-01,ESG,Senegal,Renewable Energy Share,36.8,%,up,worldbank:EG.FEC.RNEW.ZS
2016-01,ESG,Senegal,Renewable Energy Share,36.7,%,up,worldbank:EG.FEC.RNEW.ZS
2015-01,ESG,Senegal,Renewable Energy Share,39.1,%,up,worldbank:EG.FEC.RNEW.ZS
2021-01,ESG,South Africa,Renewable Energy Share,9.7,%,up,worldbank:EG.FEC.RNEW.ZS
2020-01,ESG,South Africa,Renewable Energy Share,9.8,%,up,worldbank:EG.FEC.RNEW.ZS
2019-01,ESG,South Africa,Renewable Energy Share,8.7,%,up,worldbank:EG.FEC.RNEW.ZS
2018-01,ESG,South Africa,Renewable Energy Share,8.0,%,up,worldbank:EG.FEC.RNEW.ZS
2017-01,ESG,South Africa,Renewable Energy Share,7.9,%,up,worldbank:EG.FEC.RNEW.ZS
2016-01,ESG,South Africa,Renewable Energy Share,7.8,%,up,worldbank:EG.FEC.RNEW.ZS
2015-01,ESG,South Africa,Renewable Energy Share,7.6,%,up,worldbank:EG.FEC.RNEW.ZS
2021-01,ESG,United States,Renewable Energy Share,10.9,%,up,worldbank:EG.FEC.RNEW.ZS
2020-01,ESG,United States,Renewable Energy Share,11.0,%,up,worldbank:EG.FEC.RNEW.ZS
2019-01,ESG,United States,Renewable Energy Share,10.2,%,up,worldbank:EG.FEC.RNEW.ZS
2018-01,ESG,United States,Renewable Energy Share,9.9,%,up,worldbank:EG.FEC.RNEW.ZS
2017-01,ESG,United States,Renewable Energy Share,9.7,%,up,worldbank:EG.FEC.RNEW.ZS
2016-01,ESG,United States,Renewable Energy Share,9.3,%,up,worldbank:EG.FEC.RNEW.ZS
2015-01,ESG,United States,Renewable Energy Share,8.9,%,up,worldbank:EG.FEC.RNEW.ZS
2023-01,ESG,Africa Eastern and Southern,Energy Use per Capita,565.221624381903,count,down,worldbank:EG.USE.PCAP.KG.OE
2022-01,ESG,Africa Eastern and Southern,Energy Use per Capita,568.382394434424,count,down,worldbank:EG.USE.PCAP.KG.OE
2021-01,ESG,Africa Eastern and Southern,Energy Use per Capita,579.961578587522,count,down,worldbank:EG.USE.PCAP.KG.OE
2020-01,ESG,Africa Eastern and Southern,Energy Use per Capita,568.192083165737,count,down,worldbank:EG.USE.PCAP.KG.OE
2019-01,ESG,Africa Eastern and Southern,Energy Use per Capita,588.962750250377,count,down,worldbank:EG.USE.PCAP.KG.OE
2018-01,ESG,Africa Eastern and Southern,Energy Use per Capita,585.540908067939,count,down,worldbank:EG.USE.PCAP.KG.OE
2017-01,ESG,Africa Eastern and Southern,Energy Use per Capita,599.372081461706,count,down,worldbank:EG.USE.PCAP.KG.OE
2016-01,ESG,Africa Eastern and Southern,Energy Use per Capita,608.596688850584,count,down,worldbank:EG.USE.PCAP.KG.OE
2015-01,ESG,Africa Eastern and Southern,Energy Use per Capita,610.019227944214,count,down,worldbank:EG.USE.PCAP.KG.OE
2023-01,ESG,Africa Western and Central,Energy Use per Capita,345.236396215776,count,down,worldbank:EG.USE.PCAP.KG.OE
2022-01,ESG,Africa Western and Central,Energy Use per Capita,352.912345385847,count,down,worldbank:EG.USE.PCAP.KG.OE
2021-01,ESG,Africa Western and Central,Energy Use per Capita,353.122558892368,count,down,worldbank:EG.USE.PCAP.KG.OE
2020-01,ESG,Africa Western and Central,Energy Use per Capita,343.240792316795,count,down,worldbank:EG.USE.PCAP.KG.OE
2019-01,ESG,Africa Western and Central,Energy Use per Capita,345.326858990897,count,down,worldbank:EG.USE.PCAP.KG.OE
2018-01,ESG,Africa Western and Central,Energy Use per Capita,327.790575644589,count,down,worldbank:EG.USE.PCAP.KG.OE
2017-01,ESG,Africa Western and Central,Energy Use per Capita,335.960510419465,count,down,worldbank:EG.USE.PCAP.KG.OE
2016-01,ESG,Africa Western and Central,Energy Use per Capita,345.394099103756,count,down,worldbank:EG.USE.PCAP.KG.OE
2015-01,ESG,Africa Western and Central,Energy Use per Capita,338.060445444575,count,down,worldbank:EG.USE.PCAP.KG.OE
2024-01,ESG,European Union,Energy Use per Capita,2821.39665655907,count,down,worldbank:EG.USE.PCAP.KG.OE
2023-01,ESG,European Union,Energy Use per Capita,2780.2009151871,count,down,worldbank:EG.USE.PCAP.KG.OE
2022-01,ESG,European Union,Energy Use per Capita,2922.75168024871,count,down,worldbank:EG.USE.PCAP.KG.OE
2021-01,ESG,European Union,Energy Use per Capita,3109.88687759671,count,down,worldbank:EG.USE.PCAP.KG.OE
