Date,ARR,MRR,Churn_Rate,NRR,CAC,LTV
2025-01-01,1003930.0,83333.33,4.75,103.93,835.41,5659.72
2025-01-08,1017161.8,83660.83,4.88,113.18,1270.31,8544.09
2025-01-15,1033293.98,84763.48,1.24,115.86,649.33,2203.23
2025-01-22,1032963.33,86107.83,4.05,99.68,1357.87,9630.98
2025-01-29,1051277.77,86080.28,4.26,117.73,1066.77,6928.16
2025-02-05,1047734.96,87606.48,4.55,96.63,682.79,3992.73
2025-02-12,1059134.32,87311.25,2.7,110.88,1181.37,5586.24
2025-02-19,1054399.99,88261.19,2.24,95.53,779.09,2478.78
2025-02-26,1062803.56,87866.67,3.9,107.97,860.79,2787.89
2025-03-05,1067894.39,88566.96,1.68,104.79,1439.75,5921.36
2025-03-12,1065523.66,88991.2,3.64,97.78,1336.8,4281.35
2025-03-19,1083648.22,88793.64,3.84,117.01,1279.82,9563.57
2025-03-26,1085100.31,90304.02,4.2,101.34,510.54,1870.95
2025-04-02,1094725.15,90425.03,4.91,108.87,726.37,2673.03
2025-04-09,1103351.58,91227.1,1.96,107.88,1109.54,3574.97
2025-04-16,1104090.83,91945.97,1.04,100.67,1013.66,6687.88
2025-04-23,1116434.56,92007.57,3.1,111.18,633.99,3529.5
2025-04-30,1118365.99,93036.21,3.03,101.73,1321.73,4974.72
2025-05-07,1139335.36,93197.17,3.05,118.75,1329.76,7103.44
2025-05-14,1144188.92,94944.61,4.12,104.26,1302.12,10398.8
2025-05-21,1155974.07,95349.08,4.37,110.3,1405.93,10256.66
2025-05-28,1178122.53,96331.17,3.43,119.16,1300.66,7359.7
2025-06-04,1195747.25,98176.88,2.71,114.96,880.09,4730.61
2025-06-11,1213300.82,99645.6,2.3,114.68,715.46,3583.46
2025-06-18,1216880.05,101108.4,1.83,102.95,600.13,2724.25
2025-06-25,1237262.79,101406.67,4.36,116.75,694.54,5014.42
2025-07-02,1258382.87,103105.23,4.86,117.07,1402.26,9793.1
2025-07-09,1253588.43,104865.24,2.23,96.19,794.11,5534.65
2025-07-16,1250504.6,104465.7,4.05,97.54,648.47,3123.99
2025-07-23,1252793.03,104208.72,4.28,101.83,760.3,3465.77
2025-07-30,1267626.1,104399.42,3.22,111.84,758.56,5073.45
2025-08-06,1264875.35,105635.51,1.7,97.83,808.11,2796.21
2025-08-13,1286567.96,105406.28,3.37,117.15,961.12,3264.04
2025-08-20,1288935.25,107214.0,2.42,101.84,1143.63,8982.84
2025-08-27,1306438.99,107411.27,4.79,113.58,1411.24,8020.4
2025-09-03,1318405.97,108869.92,3.13,109.16,537.85,3563.6
2025-09-10,1330087.04,109867.16,3.2,108.86,1143.82,6955.59
2025-09-17,1332760.52,110840.59,3.36,102.01,838.4,4782.2
2025-09-24,1358376.18,111063.38,1.92,119.22,669.52,2907.32
2025-10-01,1352032.56,113198.01,3.46,95.33,536.69,2318.02
2025-10-08,1378600.0,112669.38,1.77,119.65,701.34,3445.49
2025-10-15,1383135.59,114883.33,4.91,103.29,1165.21,8396.37
2025-10-22,1401130.19,115261.3,4.74,113.01,1461.4,7921.44
2025-10-29,1423758.44,116760.85,2.77,116.15,1481.04,8381.09
2025-11-05,1433169.48,118646.54,4.41,106.61,1192.69,9449.71
2025-11-12,1438988.15,119430.79,4.51,104.06,1019.27,3809.09
2025-11-19,1447578.91,119915.68,3.22,105.97,567.64,2195.96
2025-11-26,1459593.82,120631.58,3.41,108.3,905.04,5079.68
2025-12-03,1456747.61,121632.82,1.57,98.05,946.98,7346.05
2025-12-10,1469610.69,121395.63,1.61,108.83,1309.35,6900.88
2025-12-17,1464716.89,122467.56,4.36,96.67,545.19,1675.64
2025-12-24,1490071.13,122059.74,4.39,117.31,1308.76,8670.63
2025-12-31,1497894.01,124172.59,3.37,105.25,651.12,3697.78
2026-01-07,1509113.23,124824.5,3.79,107.49,645.2,3746.81
2026-01-14,1522634.89,125759.44,2.91,108.96,1323.01,5367.13
2026-01-21,1546692.52,126886.24,3.94,115.8,1377.0,8206.43
2026-01-28,1546785.32,128891.04,3.1,100.06,771.53,5869.66
2026-02-04,1568672.33,128898.78,2.97,114.15,882.73,4819.47
2026-02-11,1587982.69,130722.69,2.51,112.31,1195.98,8197.02
2026-02-18,1607197.28,132331.89,4.64,112.1,1184.71,8540.09
2026-02-25,1606570.47,133933.11,1.49,99.61,530.82,2235.32
2026-03-04,1635392.35,133880.87,4.44,117.94,949.99,3611.28
2026-03-11,1652662.09,136282.7,1.95,110.56,787.76,3524.59
2026-03-18,1664148.09,137721.84,3.62,106.95,1393.89,5211.85
2026-03-25,1679225.27,138679.01,1.43,109.06,950.89,5913.59
2026-04-01,1710962.63,139935.44,2.1,118.9,1443.7,4431.53
2026-04-08,1704786.06,142580.22,2.1,96.39,746.71,4547.21
2026-04-15,1720129.13,142065.5,3.36,109.0,978.8,7649.17
2026-04-22,1730260.69,143344.09,2.06,105.89,1378.3,10484.92
2026-04-29,1755695.52,144188.39,1.91,114.7,1119.02,8866.54
2026-05-06,1757205.42,146307.96,3.95,100.86,758.06,5141.61
2026-05-13,1773635.29,146433.79,4.07,109.35,1123.56,3546.89
2026-05-20,1789331.97,147802.94,1.18,108.85,1158.03,6181.75
2026-05-27,1816995.04,149111.0,2.41,115.46,1295.65,8379.63
2026-06-03,1844958.59,151416.25,3.68,115.39,714.9,2467.49
2026-06-10,1873149.56,153746.55,2.81,115.28,754.12,3584.3
2026-06-17,1877026.98,156095.8,3.2,102.07,988.6,6898.43
2026-06-24,1898725.41,156418.91,1.22,111.56,999.16,6645.7
2026-07-01,1920864.55,158227.12,4.42,111.66,1166.97,6611.96
2026-07-08,1929623.69,160072.05,1.8,104.56,728.98,3366.05
2026-07-15,1938017.55,160801.97,1.51,104.35,550.71,2106.93
2026-07-22,1931738.38,161501.46,1.03,96.76,1051.48,7258.06
2026-07-29,1935833.66,160978.2,3.45,102.12,1407.37,7718.31
2026-08-05,1963399.93,161319.47,3.44,114.24,1051.02,5456.44
2026-08-12,1975239.24,163616.66,1.71,106.03,666.62,4300.7
2026-08-19,2009154.09,164603.27,2.54,117.17,666.33,3290.01
2026-08-26,2006321.19,167429.51,2.45,98.59,767.2,3038.57
2026-09-02,2012741.41,167193.43,1.24,103.2,1262.95,7259.18
2026-09-09,2049353.18,167728.45,2.45,118.19,665.55,4808.73
2026-09-16,2085073.41,170779.43,3.09,117.43,1038.4,7900.97
2026-09-23,2100231.89,173756.12,1.77,107.27,728.06,2862.61
2026-09-30,2097018.53,175019.32,1.06,98.47,1246.13,5664.03
2026-10-07,2100646.38,174751.54,4.14,101.73,1479.09,10092.45
2026-10-14,2125581.05,175053.86,1.02,111.87,886.52,5789.69
2026-10-21,2152065.79,177131.75,2.64,112.46,1174.28,3705.35
2026-10-28,2174145.98,179338.82,4.55,110.26,577.65,2653.65
2026-11-04,2184038.35,181178.83,1.99,104.55,1148.05,6141.44
2026-11-11,2206031.61,182003.2,1.46,110.07,893.81,4818.28
2026-11-18,2242034.05,183835.97,3.94,116.32,871.55,5188.37
2026-11-25,2281987.1,186836.17,4.73,117.82,968.08,5537.95
