company,sector,domain,metric,value,period,date
CloudSync Pro,SaaS,Finance,revenue,500000.0,2015-01,2015-01-01T00:00:00
CloudSync Pro,SaaS,Finance,revenue,624566.6181235028,2015-01,2015-01-31T00:00:00
CloudSync Pro,SaaS,Finance,revenue,768156.4938423861,2015-03,2015-03-02T00:00:00
CloudSync Pro,SaaS,Finance,revenue,1049124.7997750454,2015-04,2015-04-01T00:00:00
CloudSync Pro,SaaS,Finance,revenue,1217554.0053957892,2015-05,2015-05-01T00:00:00
CloudSync Pro,SaaS,Finance,revenue,1608251.2780714927,2015-05,2015-05-31T00:00:00
CloudSync Pro,SaaS,Finance,revenue,2307505.807825088,2015-06,2015-06-30T00:00:00
CloudSync Pro,SaaS,Finance,revenue,2162451.001260071,2015-07,2015-07-30T00:00:00
CloudSync Pro,SaaS,Finance,revenue,2942540.053852859,2015-08,2015-08-29T00:00:00
CloudSync Pro,SaaS,Finance,revenue,4426030.525916595,2015-09,2015-09-28T00:00:00
CloudSync Pro,SaaS,Finance,revenue,6538713.001040832,2015-10,2015-10-28T00:00:00
CloudSync Pro,SaaS,Finance,revenue,8428806.421092998,2015-11,2015-11-27T00:00:00
CloudSync Pro,SaaS,Finance,revenue,11284632.732263157,2015-12,2015-12-27T00:00:00
CloudSync Pro,SaaS,Finance,revenue,15211462.779189875,2016-01,2016-01-26T00:00:00
CloudSync Pro,SaaS,Finance,revenue,21059059.347751934,2016-02,2016-02-25T00:00:00
CloudSync Pro,SaaS,Finance,revenue,27335067.721044004,2016-03,2016-03-26T00:00:00
CloudSync Pro,SaaS,Finance,revenue,27023043.034804225,2016-04,2016-04-25T00:00:00
CloudSync Pro,SaaS,Finance,revenue,41819057.79304295,2016-05,2016-05-25T00:00:00
CloudSync Pro,SaaS,Finance,revenue,50311858.15966924,2016-06,2016-06-24T00:00:00
CloudSync Pro,SaaS,Finance,revenue,64285600.175515115,2016-07,2016-07-24T00:00:00
CloudSync Pro,SaaS,Finance,revenue,78085370.52471033,2016-08,2016-08-23T00:00:00
CloudSync Pro,SaaS,Finance,revenue,64413148.890947126,2016-09,2016-09-22T00:00:00
CloudSync Pro,SaaS,Finance,revenue,86910589.43255733,2016-10,2016-10-22T00:00:00
CloudSync Pro,SaaS,Finance,revenue,103550686.9481695,2016-11,2016-11-21T00:00:00
CloudSync Pro,SaaS,Finance,revenue,171505451.50798008,2016-12,2016-12-21T00:00:00
CloudSync Pro,SaaS,Finance,revenue,216552649.92541292,2017-01,2017-01-20T00:00:00
CloudSync Pro,SaaS,Finance,revenue,260396210.02832553,2017-02,2017-02-19T00:00:00
CloudSync Pro,SaaS,Finance,revenue,293753688.99862456,2017-03,2017-03-21T00:00:00
CloudSync Pro,SaaS,Finance,revenue,333893608.8570469,2017-04,2017-04-20T00:00:00
CloudSync Pro,SaaS,Finance,revenue,379986734.1641202,2017-05,2017-05-20T00:00:00
CloudSync Pro,SaaS,Finance,revenue,368729985.7718161,2017-06,2017-06-19T00:00:00
CloudSync Pro,SaaS,Finance,revenue,555835162.6487063,2017-07,2017-07-19T00:00:00
CloudSync Pro,SaaS,Finance,revenue,663976130.6303211,2017-08,2017-08-18T00:00:00
CloudSync Pro,SaaS,Finance,revenue,715481343.334032,2017-09,2017-09-17T00:00:00
CloudSync Pro,SaaS,Finance,revenue,817162495.4953829,2017-10,2017-10-17T00:00:00
CloudSync Pro,SaaS,Finance,revenue,1094242987.25995,2017-11,2017-11-16T00:00:00
CloudSync Pro,SaaS,Finance,revenue,1393634950.9522328,2017-12,2017-12-16T00:00:00
CloudSync Pro,SaaS,Finance,revenue,1817338193.4256792,2018-01,2018-01-15T00:00:00
CloudSync Pro,SaaS,Finance,revenue,2427120318.3235106,2018-02,2018-02-14T00:00:00
CloudSync Pro,SaaS,Finance,revenue,2605388708.837139,2018-03,2018-03-16T00:00:00
CloudSync Pro,SaaS,Finance,revenue,2566054093.527229,2018-04,2018-04-15T00:00:00
CloudSync Pro,SaaS,Finance,revenue,3184173870.5891,2018-05,2018-05-15T00:00:00
CloudSync Pro,SaaS,Finance,revenue,4019609217.1305118,2018-06,2018-06-14T00:00:00
CloudSync Pro,SaaS,Finance,revenue,5936687945.707065,2018-07,2018-07-14T00:00:00
CloudSync Pro,SaaS,Finance,revenue,7453558578.946521,2018-08,2018-08-13T00:00:00
CloudSync Pro,SaaS,Finance,revenue,9256746807.7717,2018-09,2018-09-12T00:00:00
CloudSync Pro,SaaS,Finance,revenue,12613422797.180288,2018-10,2018-10-12T00:00:00
CloudSync Pro,SaaS,Finance,revenue,13316839598.486073,2018-11,2018-11-11T00:00:00
CloudSync Pro,SaaS,Finance,revenue,16756292070.595076,2018-12,2018-12-11T00:00:00
CloudSync Pro,SaaS,Finance,revenue,17600867897.989117,2019-01,2019-01-10T00:00:00
CloudSync Pro,SaaS,Finance,revenue,17913975300.70217,2019-02,2019-02-09T00:00:00
